mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
3,6447.293207932039,2862.648418580473,182.57180367934052,39669.42148760331,7502.053079569947,115472.1555245565,1.0053393827674142,1.0
4,66384.65108173013,1206.4861709622637,4178.7960365222825,5950.413223140496,11743.44657662019,161190.63694096592,1.2256110481489038,1.0
5,9814.67268849392,3409.88232103872,20.270205662294757,29752.066115702477,8034.82804538007,136608.02758375372,1.0386974767882906,1.0
6,164709.89500533394,2763.7563425823755,4654.327139688801,5950.413223140496,9062.44501153124,284414.4935573095,2.1625421437175496,1.0
7,51204.5747274779,2573.6172789899283,3779.7492303528707,158677.68595041323,7725.0180973652705,168010.23228564597,1.2774637584363242,1.0
8,71756.8879988763,667.9369729363534,1097.7387086224044,41652.89256198347,6998.440083842275,190685.98590301044,1.4498785753634558,1.0
9,86147.60106291031,6012.148685587192,360.52575754895224,59504.13223140493,8186.978566513478,214794.09909604056,1.870069594062214,1.0
10,50377.204614288035,2665.2524121302413,1139.3672025619016,61487.603305785095,6860.423375327249,198349.1622387846,1.7268944485509923,1.0
11,10774.817553722942,3204.0370982320455,5850.734902158205,59504.13223140493,9133.810198186775,137839.33955898968,1.200075601982099,1.0
12,25141.120347575365,1393.0476286621706,297.3486317982024,23801.65289256199,6780.065314434255,133494.44069643278,1.1622474526691604,1.0
1,91686.66378520401,3338.83547472622,2108.8856542809517,19834.710743801657,6865.361267201408,199710.98229107898,1.738750911475708,1.0
2,8612.57426951349,2035.1167366286681,4556.8892710161745,55537.19008264461,8425.885798991772,141838.70814456858,1.2348954486111006,1.0
3,6539.895137936749,4343.473448721488,4452.912813948642,27768.59504132232,6598.084699315857,113902.48417663999,0.9916732966283494,1.0
4,47024.10368691162,2192.9344062089804,-5.553169696824625,5950.413223140496,7545.165263901103,149629.49695241582,1.1377060608117515,1.0
5,52889.6785829881,4502.717759621533,837.4076940838131,23801.652892561982,8327.34299514375,174055.4897132359,1.3234287997859155,1.0
